Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
32,Argentina,2015,Tourism expenditure (millions of US dollars),,,5441,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2016,Tourism expenditure (millions of US dollars),,,5186,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2017,Tourism expenditure (millions of US dollars),,,5514,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,1995,Tourist/visitor arrivals (thousands),TF,,12,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2005,Tourist/visitor arrivals (thousands),TF,,319,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2010,Tourist/visitor arrivals (thousands),TF,,684,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2015,Tourist/visitor arrivals (thousands),TF,,1192,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2016,Tourist/visitor arrivals (thousands),TF,,1260,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2017,Tourist/visitor arrivals (thousands),TF,,1495,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,1995,Tourism expenditure (millions of US dollars),,,14,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2005,Tourism expenditure (millions of US dollars),,,243,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2010,Tourism expenditure (millions of US dollars),,,694,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2015,Tourism expenditure (millions of US dollars),,,956,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2016,Tourism expenditure (millions of US dollars),,,988,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
51,Armenia,2017,Tourism expenditure (millions of US dollars),,,1140,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,1995,Tourist/visitor arrivals (thousands),TF,,619,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2005,Tourist/visitor arrivals (thousands),TF,,733,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2010,Tourist/visitor arrivals (thousands),TF,,824,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2015,Tourist/visitor arrivals (thousands),TF,,1225,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2016,Tourist/visitor arrivals (thousands),TF,,1102,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2017,Tourist/visitor arrivals (thousands),TF,,1071,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,1995,Tourism expenditure (millions of US dollars),,,554,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2005,Tourism expenditure (millions of US dollars),,,1097,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2010,Tourism expenditure (millions of US dollars),,,1254,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2015,Tourism expenditure (millions of US dollars),,,1664,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2016,Tourism expenditure (millions of US dollars),,,1632,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
533,Aruba,2017,Tourism expenditure (millions of US dollars),,,1733,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,1995,Tourist/visitor arrivals (thousands),VF,,3726,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2005,Tourist/visitor arrivals (thousands),VF,,5499,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2010,Tourist/visitor arrivals (thousands),VF,,5790,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2015,Tourist/visitor arrivals (thousands),VF,,7450,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2016,Tourist/visitor arrivals (thousands),VF,,8269,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2017,Tourist/visitor arrivals (thousands),VF,,8815,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,1995,Tourism expenditure (millions of US dollars),,,10370,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2005,Tourism expenditure (millions of US dollars),,,19719,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2010,Tourism expenditure (millions of US dollars),,,31064,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2015,Tourism expenditure (millions of US dollars),,,30872,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2016,Tourism expenditure (millions of US dollars),,,36786,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
36,Australia,2017,Tourism expenditure (millions of US dollars),,,43982,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,1995,Tourist/visitor arrivals (thousands),TCE,,17173,Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2005,Tourist/visitor arrivals (thousands),TCE,,19952,Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2010,Tourist/visitor arrivals (thousands),TCE,,22004,Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2015,Tourist/visitor arrivals (thousands),TCE,,26728,Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2016,Tourist/visitor arrivals (thousands),TCE,,28121,Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2017,Tourist/visitor arrivals (thousands),TCE,,29460,Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,1995,Tourism expenditure (millions of US dollars),,,13435,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2005,Tourism expenditure (millions of US dollars),,,16243,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2010,Tourism expenditure (millions of US dollars),,,18758,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2015,Tourism expenditure (millions of US dollars),,,20416,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2016,Tourism expenditure (millions of US dollars),,,20971,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
40,Austria,2017,Tourism expenditure (millions of US dollars),,,22408,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2005,Tourist/visitor arrivals (thousands),TF,,693,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2010,Tourist/visitor arrivals (thousands),TF,,1280,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2015,Tourist/visitor arrivals (thousands),TF,,1922,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2016,Tourist/visitor arrivals (thousands),TF,,2044,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2017,Tourist/visitor arrivals (thousands),TF,,2454,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,1995,Tourism expenditure (millions of US dollars),,,87,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2005,Tourism expenditure (millions of US dollars),,,100,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2010,Tourism expenditure (millions of US dollars),,,792,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2015,Tourism expenditure (millions of US dollars),,,2535,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2016,Tourism expenditure (millions of US dollars),,,2855,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
31,Azerbaijan,2017,Tourism expenditure (millions of US dollars),,,3214,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,1995,Tourist/visitor arrivals (thousands),TF,,1598,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2005,Tourist/visitor arrivals (thousands),TF,,1608,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2010,Tourist/visitor arrivals (thousands),TF,,1370,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
44,Bahamas,2015,Tourist/visitor arrivals (thousands),TF,,1484,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
